DB010,DB020,DB030,DB040,DB040_F,DB090,DB090_F,DB100,DB100_F
2023,ES,1,ES21,1,771.36261,1,2,1
2023,ES,2,ES21,1,336.92678,1,2,1
2023,ES,3,ES21,1,1205.41445,1,2,1
2023,ES,4,ES21,1,1195.38532,1,2,1
2023,ES,5,ES21,1,1153.82804,1,2,1
2023,ES,6,ES21,1,717.96339,1,2,1
2023,ES,7,ES21,1,1542.43289,1,1,1
2023,ES,8,ES21,1,1817.15629,1,1,1
2023,ES,9,ES21,1,2153.71490,1,1,1
2023,ES,12,ES21,1,886.65169,1,1,1
2023,ES,13,ES21,1,1711.83377,1,1,1
2023,ES,14,ES30,1,2321.12292,1,1,1
2023,ES,15,ES21,1,860.30145,1,1,1
2023,ES,16,ES21,1,1064.65543,1,1,1
2023,ES,17,ES21,1,1571.02848,1,1,1
2023,ES,18,ES21,1,1363.36727,1,1,1
2023,ES,19,ES21,1,1373.96784,1,1,1
2023,ES,20,ES21,1,879.09710,1,1,1
2023,ES,21,ES21,1,1507.02847,1,1,1
2023,ES,22,ES21,1,1356.97731,1,1,1
2023,ES,24,ES21,1,1936.59651,1,1,1
2023,ES,25,ES21,1,1152.04806,1,1,1
2023,ES,26,ES21,1,1897.10656,1,1,1
2023,ES,27,ES21,1,718.95038,1,1,1
2023,ES,29,ES21,1,1076.35670,1,3,1
2023,ES,30,ES21,1,1041.09126,1,1,1
2023,ES,31,ES21,1,3694.66990,1,1,1
2023,ES,32,ES21,1,2828.61521,1,1,1
2023,ES,33,ES21,1,1046.85323,1,1,1
2023,ES,35,ES21,1,2328.06531,1,1,1
2023,ES,36,ES21,1,1152.04806,1,1,1
2023,ES,37,ES21,1,973.83214,1,1,1
2023,ES,38,ES21,1,1760.09303,1,1,1
2023,ES,39,ES21,1,1113.96525,1,1,1
2023,ES,40,ES21,1,1326.12064,1,1,1
2023,ES,41,ES21,1,1351.40761,1,1,1
2023,ES,42,ES21,1,2066.78611,1,1,1
2023,ES,43,ES21,1,2514.14387,1,1,1
2023,ES,44,ES21,1,2069.44077,1,1,1
2023,ES,45,ES21,1,899.39613,1,1,1
2023,ES,46,ES21,1,1193.02612,1,1,1
2023,ES,47,ES21,1,1273.19874,1,1,1
2023,ES,48,ES21,1,1642.29260,1,1,1
2023,ES,49,ES21,1,939.96654,1,1,1
2023,ES,50,ES21,1,1328.16964,1,1,1
2023,ES,51,ES21,1,704.13460,1,1,1
2023,ES,52,ES21,1,1774.34507,1,1,1
2023,ES,53,ES21,1,2153.71490,1,1,1
2023,ES,54,ES21,1,916.91650,1,1,1
2023,ES,55,ES21,1,894.13393,1,1,1
2023,ES,56,ES21,1,1021.26053,1,1,1
2023,ES,57,ES21,1,1312.26767,1,1,1
2023,ES,58,ES21,1,1192.71520,1,1,1
2023,ES,60,ES21,1,1378.64062,1,2,1
