id,desc
0,Menos que primaria
100,Educación primaria
200,Primera etapa de Educación Secundaria
340,Segunda etapa de Educación Secundaria: Orientación general
344,Para personas de 16 a 34 años: Orientación general
350,Segunda etapa de Educación Secundaria: Orientación profesional
353,Para personas de 16 a 34 años: Orientación profesional (sin acceso directo a educación superior)
354,Para personas de 16 a 34 años: Orientación profesional (con acceso directo a educación superior).
450,Educación postsecundaria no superior
500,Educación superior
